,#,Coin,Price,1H,24H,7D,24H Volume,Market Cap
,1,Bitcoin   BTC,"₹56,89,212.26",-0.1%,0.6%,4.45%,"₹25,39,30,57,69,126.69","₹11,26,00,04,71,79,821.67"
,2,Ethereum   ETH,"₹2,31,646.13",-0.2%,0.9%,5.25%,"₹13,86,53,38,61,960.61","₹2,79,55,41,84,94,797.23"
,3,Tether USDt   USDT,₹86.50,-0.0%,0.0%,0.0%,"₹50,17,80,28,14,770.30","₹1,03,31,56,86,10,645.55"
,4,BNB   BNB,"₹52,012.45",-0.9%,-0.2%,4.29%,"₹1,91,05,28,01,053.33","₹76,15,71,34,08,208.67"
,5,Solana   SOL,"₹13,518.22",-0.3%,-0.4%,7.21%,"₹2,15,02,05,53,659.61","₹63,92,42,28,68,485.26"
,6,USDC   USDC,₹86.47,-0.0%,-0.0%,-0.0%,"₹4,65,34,18,02,291.20","₹31,38,26,96,96,821.82"
,7,XRP   XRP,₹50.81,-0.2%,-0.5%,0.8%,"₹93,50,44,29,700.90","₹28,74,51,87,48,707.48"
,8,Dogecoin   DOGE,₹10.67,-0.9%,0.5%,17.75%,"₹1,06,64,35,88,405.62","₹15,66,34,55,16,498.93"
,9,Cardano   ADA,₹34.37,-0.4%,-3.3%,12.35%,"₹22,96,69,42,870.59","₹12,07,17,26,60,063.02"
,10,TRON   TRX,₹13.36,-0.2%,0.3%,2.03%,"₹25,17,64,40,299.17","₹11,60,28,66,03,107.64"
,11,Avalanche   AVAX,"₹2,546.56",-0.9%,0.5%,9.39%,"₹35,64,67,57,930.16","₹10,45,42,71,70,042.57"
,12,Shiba Inu   SHIB,₹0.001753,-1.0%,6.61%,42.98%,"₹1,23,14,56,36,266.26","₹10,39,74,25,77,676.90"
,13,Chainlink   LINK,"₹1,091.63",-0.5%,-0.9%,11.65%,"₹25,95,99,03,556.54","₹6,87,31,37,39,503.19"
,14,Polkadot   DOT,₹416.84,-0.6%,-1.9%,11.83%,"₹12,44,57,79,652.62","₹6,27,81,76,07,584.03"
,15,Bitcoin Cash   BCH,"₹30,404.75",-1.3%,-2.0%,5.12%,"₹19,50,87,72,329.33","₹6,03,46,35,20,706.54"
,16,NEAR Protocol   NEAR,₹468.14,-0.3%,-4.6%,25.66%,"₹29,49,46,64,103.78","₹5,45,57,93,46,191.84"
,17,Litecoin   LTC,"₹6,069.71",-0.7%,1.35%,7.77%,"₹26,50,32,91,019.93","₹4,56,79,81,65,169.28"
,18,Pepe   PEPE,₹0.0009567,-1.2%,8.6%,37.37%,"₹1,15,30,45,28,575.05","₹4,06,46,45,67,262.17"
,19,Internet Computer   ICP,₹849.52,-1.0%,2.34%,18.01%,"₹8,29,43,19,836.59","₹4,01,80,48,43,634.07"
,20,Uniswap   UNI,₹657.83,-0.7%,3.61%,13.39%,"₹13,51,71,85,153.69","₹3,97,84,24,37,561.49"
,21,Sui   SUI,₹140.58,0.0%,-5.8%,10.01%,"₹43,54,27,36,431.46","₹3,76,68,81,77,626.94"
,22,Kaspa   KAS,₹14.71,-0.4%,2.92%,0.2%,"₹6,85,40,01,664.72","₹3,65,79,24,24,815.59"
,23,Aptos   APT,₹707.57,-0.2%,-1.7%,13.09%,"₹12,74,91,35,397.14","₹3,56,70,10,78,376.19"
,24,Artificial Superintelligence Alliance   FET,₹140.39,-0.9%,-2.1%,2.3%,"₹22,32,34,27,163.66","₹3,56,49,03,21,731.91"
,25,Bittensor   TAO,"₹45,758.50",-0.2%,-4.3%,30.28%,"₹12,45,36,12,837.78","₹3,39,41,85,04,308.14"
,26,Render   RENDER,₹567.44,0.0%,2.81%,25.53%,"₹31,03,92,77,388.70","₹2,96,07,18,96,919.77"
,27,POL (ex-MATIC)   POL,₹36.87,-0.6%,-1.1%,7.4%,"₹9,29,90,90,833.40","₹2,74,21,18,23,479.64"
,28,Ethereum Classic   ETC,"₹1,771.52",-0.4%,-0.4%,7.75%,"₹10,46,34,80,439.28","₹2,65,34,42,07,558.47"
,29,Monero   XMR,"₹13,923.91",-0.9%,-1.5%,-9.7%,"₹3,65,24,63,998.61","₹2,56,84,44,63,432.91"
,30,Stacks   STX,₹169.71,0.1%,-2.1%,13.92%,"₹6,87,00,68,442.92","₹2,55,68,69,66,454.24"
,31,Stellar   XLM,₹8.52,-0.8%,-0.0%,2.54%,"₹4,24,34,35,864.88","₹2,53,55,60,34,977.07"
,32,Immutable   IMX,₹152.07,-0.1%,-3.7%,15.1%,"₹3,90,95,18,840.36","₹2,46,79,74,57,167.95"
,33,First Digital USD   FDUSD,₹86.40,-0.0%,0.0%,-0.1%,"₹3,40,89,95,70,025.41","₹2,44,34,30,70,165.35"
,34,Aave   AAVE,"₹14,339.11",-0.6%,-0.9%,10.17%,"₹21,31,81,10,377.52","₹2,15,38,15,30,413.97"
,35,Filecoin   FIL,₹354.74,-0.4%,-2.3%,9.83%,"₹11,56,62,08,664.90","₹2,09,99,47,21,948.53"
,36,Arbitrum   ARB,₹56.40,-0.4%,2.79%,13.73%,"₹27,76,46,51,645.16","₹2,05,22,08,81,119.62"
,37,Hedera   HBAR,₹5.38,-1.4%,0.2%,16.25%,"₹4,33,90,66,672.62","₹2,03,63,15,60,496.12"
,38,Optimism   OP,₹161.50,-0.5%,3.83%,13.55%,"₹15,83,27,87,255.02","₹2,03,41,39,13,808.57"
,39,Injective   INJ,"₹1,995.56",-1.2%,0.3%,12.08%,"₹8,18,30,10,926.77","₹1,97,40,78,58,984.29"
,40,dogwifhat   WIF,₹193.85,-1.5%,-3.0%,31.83%,"₹46,92,67,17,362.58","₹1,94,66,49,31,021.08"
,41,VeChain   VET,₹2.27,-0.5%,-0.2%,10.96%,"₹2,35,24,05,405.15","₹1,85,47,03,97,609.69"
,42,Mantle   MNT,₹56.26,-0.6%,-1.7%,8.33%,"₹7,77,57,00,797.55","₹1,84,40,49,35,016.59"
,43,Cosmos   ATOM,₹434.32,-0.6%,-2.0%,12.1%,"₹9,60,19,75,820.80","₹1,70,75,64,54,198.41"
,44,Fantom   FTM,₹58.25,-0.4%,-5.8%,7.05%,"₹18,16,40,72,991.04","₹1,64,03,11,88,329.57"
,45,THORChain   RUNE,₹462.08,-0.5%,-2.1%,20.49%,"₹13,05,08,82,493.42","₹1,55,99,69,85,536.38"
,46,The Graph   GRT,₹16.05,-0.5%,-1.4%,14.89%,"₹4,63,41,09,967.10","₹1,54,36,75,50,990.36"
,47,Bonk   BONK,₹0.001968,-2.5%,1.32%,26.13%,"₹28,78,08,36,843.20","₹1,39,89,53,69,290.29"
,48,FLOKI   FLOKI,₹0.01,-1.3%,0.7%,26%,"₹33,42,17,62,756.66","₹1,38,88,76,92,187.87"
,49,Sei   SEI,₹38.62,-0.3%,-5.3%,21.44%,"₹16,89,25,26,700.47","₹1,36,79,71,35,605.15"
,50,Maker   MKR,"₹1,46,704.00",-0.2%,3.02%,13.67%,"₹8,74,73,58,362.23","₹1,30,12,43,75,670.38"
