#,Coin,Price,1H,24H,7D,24H Volume,Market Cap
,Pepe,₹0.0009675,1.66%,9.49%,37.93%,1337180290.102847,"₹4,07,01,99,42,990.82"
,Powerledger,₹19.80,0.8%,1.95%,1.39%,11066285.82037272,"₹10,37,00,09,205.09"
,Manta Network,₹79.35,1.85%,5.24%,15.83%,27212529.59187037,"₹30,07,68,18,403.85"
,Hedera,₹5.44,1.19%,0.6%,17.19%,50616809.82903594,"₹2,04,54,42,03,210.31"
,Stellar,₹8.56,0.83%,0%,2.69%,49165841.93706385,"₹2,53,72,34,71,329.20"
,JasmyCoin,₹2.13,1.52%,4.42%,17.19%,89730199.106587,"₹1,05,04,92,25,119.02"
,Kaspa,₹14.79,0.26%,3.18%,0.55%,79072050.27772973,"₹3,66,78,89,27,157.70"
,Immutable,₹153.48,0.62%,3.99%,14.74%,45351382.98960683,"₹2,46,37,74,15,992.92"
,Mask Network,₹209.37,0.47%,0.66%,4.7%,26667985.18953156,"₹20,93,74,60,760.17"
,Gas,₹367.22,2.63%,5.53%,1.28%,15058071.19968762,"₹23,86,67,93,016.72"
,Pirate Nation,₹16.24,0.27%,2.44%,1.55%,1064036.28351043,"₹3,86,18,37,629.57"
,XDC Network,₹2.50,0.14%,0.31%,1.92%,4381986.52657881,"₹37,32,58,54,551.16"
,Cardano,₹34.55,0.68%,3.32%,12.57%,266109938.4301727,"₹12,07,66,68,34,535.30"
,Internet Computer,₹852.33,1.13%,2.56%,18.12%,96105754.5916815,"₹4,01,75,59,61,609.16"
,Klaytn,₹12.75,0.17%,4.55%,8.65%,17903195.58120529,"₹48,48,53,15,749.99"
,TRON,₹13.40,0.24%,0.35%,2.01%,290872368.7002047,"₹11,60,43,55,03,275.93"
,Cosmos,₹436.95,0.81%,1.93%,12.42%,111329380.9560148,"₹1,70,81,74,39,420.97"
,Oasis,₹7.02,0.38%,3.37%,22.41%,24875382.33825828,"₹49,60,54,61,222.37"
,Osmosis,₹55.99,1.52%,4.3%,23.54%,15225951.53819487,"₹38,36,63,19,950.33"
,StormX,₹0.62,0.92%,1.3%,6.44%,10250935.84595477,"₹7,41,98,38,861.99"
,Amp,₹0.38,1.06%,2.37%,9.51%,15076527.29226833,"₹30,34,84,72,865.00"
,Maverick Protocol,₹21.34,1.29%,1.46%,11.93%,6627976.17277308,"₹8,12,24,42,758.90"
,Tensor,₹36.99,1.61%,1.21%,9.89%,17013571.70427223,"₹4,62,35,08,693.40"
,MyNeighborAlice,₹101.39,1.32%,1.04%,9.07%,14399252.9421351,"₹6,88,59,89,521.34"
,Arbitrum,₹56.73,0.73%,2.91%,14.49%,321179801.7625386,"₹2,05,21,32,47,210.31"
,Venom,₹8.98,0.02%,0.92%,4.81%,1284227.04034519,"₹8,88,44,93,644.65"
,Coq Inu,₹0.0001419,2.19%,2.77%,10.62%,4630845.08757727,"₹9,84,77,24,631.51"
,TARS AI,₹17.17,1.38%,28.24%,82.87%,9910694.04182502,"₹5,89,56,64,887.91"
,JUST,₹2.59,0.37%,0.77%,3.56%,22374481.96681231,"₹25,59,20,59,588.72"
,Fantom,₹58.63,0.97%,5.44%,7.64%,211060204.5561155,"₹1,64,38,34,89,667.42"
,Venus,₹671.94,0.92%,1.48%,6.35%,4891716.69434064,"₹11,02,82,05,255.96"
,Sun (New),₹1.95,2.68%,6.41%,7.03%,50347781.92175765,"₹19,44,16,21,824.93"
,Moonriver,₹968.87,1.52%,0.37%,6.02%,5295579.12173458,"₹8,84,14,91,753.12"
,Axelar,₹61.53,0.53%,2.37%,31.52%,14111872.55612577,"₹48,96,03,15,551.61"
,GMT,₹13.46,1.92%,1.97%,14.79%,25999398.96407504,"₹38,19,62,95,132.82"
,Vulcan Forged (PYR),₹267.51,0.5%,0.59%,10.58%,4958125.48138954,"₹10,38,03,49,693.42"
,Nano,₹84.22,0.29%,0.77%,4%,1572499.58724346,"₹11,22,18,28,045.92"
,Renzo,₹4.02,1.79%,2.89%,14.25%,13193857.4485758,"₹6,57,08,05,723.95"
,Lista DAO,₹35.64,2.63%,2.58%,11.3%,12760241.91074392,"₹6,46,29,79,437.06"
,KuCoin Token,₹706.90,0.03%,0.07%,9.26%,872861.36839684,"₹83,34,81,33,006.44"
,Frax Share,₹206.27,1.21%,11.71%,21.94%,24554890.76848165,"₹17,02,22,26,592.91"
,Highstreet,₹129.76,1.05%,0.94%,8.33%,11908571.53258171,"₹8,86,87,73,595.35"
,Ontology,₹17.82,0.77%,0.95%,1.8%,6253128.27945333,"₹16,17,62,67,447.23"
,Pundi X (New),₹37.84,0.48%,0.3%,1.12%,5210258.51868945,"₹9,78,21,08,751.63"
,Nexo,₹92.05,0.04%,1.31%,2.17%,3722810.57219157,"₹51,54,58,14,499.10"
,SafePal,₹64.98,0.68%,0.89%,1.28%,3892991.7162617,"₹31,67,81,28,140.77"
,Decred,"₹1,115.69",1.28%,0.57%,4.25%,1339164.0362937,"₹18,23,72,96,050.34"
,Open Campus,₹58.33,0.95%,2.57%,9.31%,16449922.22568855,"₹19,23,90,55,900.87"
,Pixels,₹14.56,1.99%,1.12%,14.79%,30101767.955768,"₹15,77,95,27,864.45"
,Aethir,₹6.06,0.7%,7.19%,21.4%,61010128.27856204,"₹24,58,40,78,393.26"
